155046,1,金士顿 DT100G3 16G USB3.0 高速16g优盘 U盘,47.70
137276,1,秋叶原 Q-508 超五类网线 3米,14.80
155258,1,金士顿 DT100G3 32G 32g DT100 G3 US...,89.00
114471,1,罗技 M90 有线鼠标线长1.5m,43.80
114470,1,罗技 K120 有线电脑键盘USB口,45.00
166302,1,金士顿 内存条 DDR3 1600 8G台式机内存条,595.00
178876,1,罗技 M100r 有线 光电鼠标 磨砂黑,56.00
112636,1,闪迪 CZ50 16G 酷刃U盘16G,46.50
112641,1,闪迪 CZ50 32G 酷刃U盘,78.60
112640,1,闪迪CZ50 64G U盘,147.60
160584,1,秋叶原 Q-508 超五类 网线 5米,18.20
409,1,山泽 SZW-1050 工程级超五类网线 5米 蓝色,16.00
142218,1,吉选（GESOBYTE) S300鼠标垫,9.80
181462,1,金士顿 DTSE9G2 16G u盘金属 USB3.0高速u盘,79.00
160580,1,秋叶原 Q-508 超五类 网线 2米,11.00
165578,1,国产 5米数据连接线 usb打印线 打印机,18.00
176010,1,雷柏 M110 USB有线光学 鼠标 黑色 （升级型号N1020）,23.75
176062,1,绿联 USB3.0 4口HUB集线器分线器 0.2米,65.00
177322,1,罗技 M105 有线鼠标 笔记本台式电脑USB轻巧便携鼠标 1...,46.00
137183,1,TP-LINK TL-WN725N 150M无线USB网卡 Wi...,49.40
114468,1,罗技 M185 无线鼠标（颜色随机）,75.00
135688,1,罗技 MK120 USB有线键鼠套装 黑,78.70
144424,1,金士顿（Kingston）DTSE9 16GB 不锈钢U盘 银灰...,39.50
167224,1,绿联 转接头 40248 HDMI转VGA 黑色,72.00
168650,1,罗技 M545无线鼠标 激光无线鼠标,157.70
536,1,金士顿 DTSE9-32G 金属U盘 银,100.70
153128,1,希捷 STDR2000300 BACKUP PLUS 睿品升级版...,677.00
164881,1,闪迪 CZ73 16G U盘 高速3.0U盘金属优盘,58.00
161260,1,闪迪（SanDisk）酷刃（CZ50）16GB U盘,36.53
153436,1,双飞燕 MOP-620NU USB有线鼠标 黑色,38.00
135788,1,国产 工程级超五类网线 2米 蓝色,4.63
161890,1,秋叶原 网线 Q-508 超五类网线 网络跳线 10米,39.00
148413,1,得力 3933 电教红光激光笔,17.80
137788,1,西部数据 WDBUZG0020BBK 新元素系列2.5英寸US...,648.00
182166,1,国产 QT-506 24*20cm 鼠标垫,5.00
148451,1,罗技 M280 无线鼠标 黑,83.70
161888,1,秋叶原 Q-506 超五类网线 高纯度无氧铜网线 网络跳线 3米,11.80
155437,1,秋叶原 VGA线 连接线 纯铜VGA视频线 3米,58.00
468,1,国产工程级超五类网线 3米 蓝色,8.41
165204,1,友讯 dlink 3米 六类非屏蔽网线,37.50
114479,1,罗技 M186 无线光学鼠标,70.00
177638,1,绿联 10836 安卓数据线 手机充电线 黑色,16.00
164540,1,金士顿 DT100G3 64G 高速优盘 USB3.0高速u盘,169.80
165203,1,友讯 网线 D-Link 六类非屏蔽网线 2米,30.00
151353,1,三星（SAMSUNG）32G 全金属五防 USB3.0 高速闪存...,69.20
135701,1,TP-LINK TL-WN726N 免驱版USB无线网卡,60.00
